
  GPISRule5 => MS=1112.00, TWT=244.00  , IdleAvg=403.17, WaitAvg=197.11, T=0.218s

=== INSTANCE: test_small_flex_events_7_util0.95_ec0.15_nm10_v0.json (Machines: 10, Total Jobs Defined: 10) ===
  SPT     => MS=754.00 , TWT=44.00   , IdleAvg=342.40, WaitAvg=100.78, T=0.372s
  LPT     => MS=806.00 , TWT=0.00    , IdleAvg=382.20, WaitAvg=97.11 , T=0.371s
  FIFO    => MS=774.00 , TWT=196.00  , IdleAvg=365.90, WaitAvg=95.22 , T=0.369s
  LIFO    => MS=774.00 , TWT=196.00  , IdleAvg=365.90, WaitAvg=95.22 , T=0.369s
  SRPT    => MS=834.00 , TWT=0.00    , IdleAvg=415.10, WaitAvg=86.11 , T=0.370s
  OPR     => MS=803.00 , TWT=88.00   , IdleAvg=400.10, WaitAvg=92.67 , T=0.370s
  ECT     => MS=834.00 , TWT=0.00    , IdleAvg=415.10, WaitAvg=86.11 , T=0.373s
  LLM     => MS=774.00 , TWT=196.00  , IdleAvg=365.90, WaitAvg=95.22 , T=0.369s
  Random  => MS=941.00 , TWT=284.00  , IdleAvg=541.20, WaitAvg=127.56, T=0.369s
  EDD     => MS=803.00 , TWT=0.00    , IdleAvg=403.00, WaitAvg=114.78, T=0.369s
  MST     => MS=803.00 , TWT=0.00    , IdleAvg=403.00, WaitAvg=114.78, T=0.370s
  GPISRule1 => MS=832.00 , TWT=0.00    , IdleAvg=438.60, WaitAvg=99.89 , T=0.374s
  GPISRule2 => MS=1064.00, TWT=0.00    , IdleAvg=663.10, WaitAvg=144.56, T=0.373s
  GPISRule3 => MS=803.00 , TWT=0.00    , IdleAvg=403.00, WaitAvg=114.78, T=0.371s
  GPISRule4 => MS=803.00 , TWT=0.00    , IdleAvg=403.00, WaitAvg=114.78, T=0.368s
  GPISRule5 => MS=774.00 , TWT=196.00  , IdleAvg=365.90, WaitAvg=95.22 , T=0.369s


=== Average Performance per Rule (across all instances) ===
Rule   : AvgMS  , AvgTWT  , AvgIdle, AvgWait, AvgT (s)
SPT    : 870.88 , 240.62  , 348.21 , 175.10 , 0.291  
LPT    : 927.12 , 603.50  , 361.74 , 192.18 , 0.291  
FIFO   : 867.62 , 305.88  , 343.58 , 165.79 , 0.295  
LIFO   : 876.00 , 728.88  , 343.47 , 176.75 , 0.290  
SRPT   : 994.00 , 406.25  , 464.63 , 164.97 , 0.290  
OPR    : 948.38 , 343.25  , 425.60 , 161.35 , 0.291  
ECT    : 925.25 , 335.12  , 414.66 , 150.42 , 0.291  
LLM    : 867.62 , 305.88  , 343.58 , 165.79 , 0.290  
Random : 905.00 , 463.75  , 372.55 , 183.40 , 0.291  
EDD    : 905.25 , 107.38  , 386.07 , 161.01 , 0.290  
MST    : 884.62 , 138.38  , 366.80 , 160.53 , 0.291  
GPISRule1: 885.38 , 197.75  , 362.92 , 160.68 , 0.292  
GPISRule2: 920.50 , 226.50  , 393.83 , 182.92 , 0.291  
GPISRule3: 884.62 , 138.38  , 366.80 , 160.53 , 0.291  
GPISRule4: 895.50 , 138.38  , 377.70 , 162.03 , 0.291  
GPISRule5: 892.62 , 468.88  , 366.58 , 180.83 , 0.291  
